"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"AGRICARE COMTRADE PRIVATE LIMITED","AGRICARE COMTRADE PRIVATE LIMITED C/O PUSHKAR WAREHOUSE","7063530","Plot no. 1, Survey No. 254/1 and 254/2, Anida Bhalodi, Tal. Gondal, Dist. Rajkot, Gujarat -360311","Rajkot","GUJARAT","1639","03-Apr-2025","02-Apr-2030","9418331833","Active",""
"AJUBEN DODIA","AJUBEN JESINGBHAI DODIYA","7003411","GODOWN NUMBER 1 & 2 ,MANGROL KESHOD HIGHWAY , BHAGAT NI VADI , VILLAGE - RUDALPUR, TALUKA- MANGROL , DISTRICT JUNAGATH- 362225","Junagadh","GUJARAT","3242","19-Dec-2024","18-Dec-2029","8200517965","Active",""
"Alpha Costoware","Alpha Costware","9771021","Sy no-69/2,near dhavni dham,opp Vivekanand institue of hotel management, kuchiyadal","Rajkot","GUJARAT","5500","09-Aug-2024","19-Oct-2029","9824220272","Active",""
"Alpha Costoware","ALPHA COSTOWARE","7006562","S.NO 69/2, OPP VIVEKANAND INSTITUTE OF HOTEL MANAGEMENT, RAJKOT-AHMEDABAD HIGHWAY, KUCHIYADAD,","Rajkot","GUJARAT","6748","01-Jan-2025","30-Jun-2029","9824220272","Active",""
"Alpha Costoware","Alpha Costoware","3391647","S. No. 69/3 Near Dhavni Dham, Opp. Vivekanand Institute of Hotel Management, Kuchiyadad","Rajkot","GUJARAT","5000","08-Jul-2025","12-Mar-2030","9824220272","Active",""
"Anjani Cold Storage","ANJANI COLD STORAGE","7003056","Anjani Cold Storage , Plot number 168 to 171 , Nr Pan agri Export , Avadh Industrial Hub, Gondal , Rajkot , Gujarat - 360311","Rajkot","GUJARAT","5089","12-Dec-2024","11-Dec-2029","9879197791","Active",""
"Ankit Rachhdiya","Parishram Cold Storage","7034101","Shivkant Ind. Park, Plot No. 49-50, RS NO. 47 P1/P1/P1, Gundala Anida Road, At Anida (Bhalodi)","Rajkot","GUJARAT","1835","06-Mar-2025","05-Mar-2030","9909778111","Inactive","EXPIRED/INSUFFICIENT INSURANCE"
"Avadh Cold Storage","Avadh Cold storage","6656284","Avadh industrial Hub,Plot No 78 to 83,Near Pan Agri Export,Gondal N.H 27 At Biliyala,","Rajkot","GUJARAT","5000","30-Nov-2022","29-Nov-2027","9825227554","Active",""
"BALAJI COLD STORAGE","BALAJI COLD STORAGE","6851679","s. BALAJI COLD STORAGE, R.S. No.:705 PAIKI 1, At & Po.: AJOL, Ta. MANSA & Dist.:GANDHINAGAR-382810,","Mahesana","GUJARAT","5298","06-Feb-2024","05-Nov-2028","7624001244","Active",""
"BARAD JAGMALBHAI","Bhagyashree Industries C/O Pithad krupa warehouse","6698401","Godown No 1 , Kesod - Mangroli Highways, Dist-Junagadh , Ta-Mangrol . Village - Mankhetra.","Junagadh","GUJARAT","833","23-Mar-2023","22-Mar-2028","8200377576","Active",""
"BARAD JAGMALBHAI","SHREEDHAR WAREHOUSE","7081532","MALIYA HATINA, MALIYA","Junagadh","GUJARAT","1928","28-Apr-2025","27-Oct-2029","6354106606","Active",""
"BARAD JAGMALBHAI","ZANKAT WAREHOUSE","7032485","VILLAGE-GADU, TEHSIL-MALIYA, DISTRICT- JUNAGARH","Junagadh","GUJARAT","3539","06-Mar-2025","05-Sep-2029","6354106606","Active",""
"BARAD JAGMALBHAI","GIRNAR AGRI IMPEX","7020241","SONDARDA,, KESHOD, JUNAGARH","Junagadh","GUJARAT","2336","12-Feb-2025","11-Aug-2029","6354106606","Active",""
"BARAD JAGMALBHAI","Bhagyashree Industries C/O APMC Sutrapada ( Pransali Market yard )","6697502","Bhagyashree Industries C/O APMC Sutrapada ( Pransali Market yard ) , Godown No 5 , 15 , 16 and 17, Next to hanuman petrol pump on Veraval - Kodinar National Highway , Gir Somnath , Sutrapada , Pransli","Junagadh","GUJARAT","2383","20-Mar-2023","19-Mar-2028","9737932688","Active",""
"BARAD JAGMALBHAI","Bhagyashree Industries C/O Shree khandheri seva sahkari mandali","6700470","Godown No 1 and 2 , District - Gir somnath , Taluka - Veraval, Village - Khandheri","Junagadh","GUJARAT","476","28-Mar-2023","27-Mar-2028","8200377576","Inactive","EFFECTIVE CONTROL EXPIRED"
"Bombay Organic Cold Private Limited","Bombay Organic cold Private Limited","6665558","Plot No 3,4 Sanidhya Industrial Estate Survey No-31 P/1, National Highway 27","Rajkot","GUJARAT","3500","26-Dec-2022","25-Dec-2027","9638963496","Active",""
"Central Warehousing Corporation","CW Jamnagar","2831640","Hapa, Jamnagar","Jamnagar","GUJARAT","19700","26-Feb-2021","25-Feb-2026","7276568847","Active",""
"Central Warehousing Corporation","CW-PIPAVAV","6791107","WAREHOUSING ZONE,P.B-29,PIPAVAV PORT,TAL.-RAJULA,","Amreli","GUJARAT","49160","12-Oct-2023","11-Oct-2028","9819086796","Active",""
"Central Warehousing Corporation","Nadiad","6795694","Marida Gate, Marida Bhagol","Kheda","GUJARAT","8500","27-Oct-2023","26-Oct-2028","9610898019","Active",""
"Central Warehousing Corporation","CW SURAT-II","2731683","NEAR GEB, KAPODRA, VARACHHA ROAD,","Surat","GUJARAT","7450","24-Feb-2021","23-Feb-2026","9825590739","Active",""
"Central Warehousing Corporation","CW RAJKOT-1","2971657","POPATPARA, RAJKOT","Rajkot","GUJARAT","12500","02-Mar-2021","01-Mar-2026","9963376303","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE BHAVNAGAR","4471663","Near Anandnagar,Octroi Post, New Bunder Road,Bhavnagar","Bhavnagar","GUJARAT","14250","08-Apr-2021","07-Apr-2026","9336404487","Active",""
"Central Warehousing Corporation","CW GANDHIDHAM (FCI UNIT)","2731664","S. PODDAR OVERSEAS, PLOT NO.1 & 2/F, SECTOR-12, HEAVY INDUSTRIAL AREA, POST BOX NO. 111, OPP. POWER HOUSE","Kachchh","GUJARAT","3333","24-Feb-2021","23-Feb-2026","7016255005","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CW-MUNDRA","6977490","Plot No. 01, Behind MICT CFS, Near Adani port Mundra,","Kachchh","GUJARAT","66000","17-Sep-2024","16-Sep-2029","9879971963","Active",""
