"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"A S Enterprises","A S Enterprises","6541627","Murba No. 48, 12 O Padampur Road, Srikaranpur city","Ganganagar","RAJASTHAN","8275","17-Nov-2021","16-Nov-2026","9414365974","Active",""
"AARTI JAIN","Lavi Agro warehouse","7083876","Hamidpura Road, Opposite Filter Plant, Niwai","Tonk","RAJASTHAN","4166","02-May-2025","01-May-2030","9252339807","Active",""
"Abhas Hissaria","Shri Annapurna Warehouse","6740070","Chak 13HMH Hanumangarh Town,","Hanumangarh","RAJASTHAN","7000","19-Jun-2023","18-Jun-2028","7028459732","Active",""
"Abhinandan Agro Warehouse","Abhinandan Agro Warehouse","6699664","Killa No. 19, 20, 21/1 & 22/1 Sq. No. 14, Chak Patikhiya 1st, Patwar Halka Bakhtawali (19 ML) Village Netewala","Ganganagar","RAJASTHAN","7655","27-Mar-2023","26-Sep-2027","9680990606","Active",""
"ABP AGRIWAREHOUSING COMPANY","ABP AGRIWAREHOUSING COMPANY","6533616","Chack 7 HMH Near Nandram Ki Dhani, Tibbi Road, Hanumangarh Town,","Hanumangarh","RAJASTHAN","9000","20-Sep-2021","19-Sep-2026","9414332625","Active",""
"ACHALA MUTHA","PUSHPRAJ MUTHA AGRI WAREHOUSE","6968226","K.N. 102-103-104,JAJIWAL BARHMANA, NEAR AHGANWA KRISHI MANDI","Jodhpur","RAJASTHAN","9200","19-Aug-2024","18-Aug-2029","7014328464","Active",""
"AGGARWAL FOODS","AGGARWAL FOODS","6533251","17 PBN Ahamadpura Pilibanga,","Hanumangarh","RAJASTHAN","10000","20-Sep-2021","19-Sep-2026","7617300000","Active",""
"ALPNA GUPTA","Manoj Kumar and Sons","6546121","Kila No. 1 to 4 , SQ No. 42 Chak 17 ML, Agra Food Park Road, Udyog Vihar","Ganganagar","RAJASTHAN","7000","16-Dec-2021","15-Dec-2026","8107560009","Active",""
"Amar Singh","Saharan Warehouse","6647820","Stone No. 41/275, Killa No. 16 to 20 Chak 5 DBN, Teshil Suratgarh","Ganganagar","RAJASTHAN","6284","31-Oct-2022","30-Apr-2027","9983838677","Active",""
"Amara Gehlot","M/s Prameshwar Warehouse","6663660","Khasra No. 889/1, By Pass Road, Village Mathania, Tehsil Tinwari,","Jodhpur","RAJASTHAN","3380","19-Dec-2022","18-Dec-2027","9928783875","Active",""
"AMIT KOCHAR","Amit Kochar","7037971","Chak No.2 GD 65/25, Killa No 2,9,12, Bikaner Road, Gharsana,","Ganganagar","RAJASTHAN","2451","12-Mar-2025","11-Mar-2030","9928872764","Active",""
"anand kanwar","Shiv Agro Industries","6679682","plot no 83-84, RIICO Ind. Area, Mathania","Jodhpur","RAJASTHAN","2850","22-Jul-2024","01-Aug-2029","7742256939","Inactive","EXPIRED INSURANCE"
"ANANT AGARWAL","ANANT AGRI STORAGE","6744395","KHASRA NO 503/282, BEHIND RIICO INDUSTRIES AREA, VILLAGE GOGELAW","Nagaur","RAJASTHAN","4497","24-Jun-2023","23-Jun-2028","7230007118","Active",""
"ANANT AGARWAL","ANANT AGRI STORAGE","6668883","KHASRA NO 503/282, BEHIND RIICO INDUSTRIES AREA, VILLAGE GOGELAW","Nagaur","RAJASTHAN","5031","30-Dec-2022","29-Dec-2027","7230007118","Active",""
"Anaro Devi","Pradeep Agro Warehouse","6677975","Kharsa No. 2208, 2209, 2211, 2212, Mathura Road","Bharatpur","RAJASTHAN","5995","27-Jan-2023","26-Jan-2028","9414023492","Active",""
"Anil agarwal","ANIL WAREHOUSE","7130941","AARAJI NO 19/2,JORAWARPUR CHOURAHA, SHAHPURA ROAD,TEHSIL BANERA","Bhilwara","RAJASTHAN","4349","13-Aug-2025","12-Aug-2030","9413359471","Active",""
"ANIL PANWAR","WHITE SAFFRON ENTEPRISES","6869762","NAVKAR WAREHOUSE, KHASRA NO- 224, 225/4, 205/4, NH-15, SHRI GANGANAGAR ROAD, KHARA-BIKANER","Bikaner","RAJASTHAN","2577","22-Feb-2024","21-Feb-2029","8005647237","Inactive",""
"Anita Gupta","Anita Gupta warehouse","7118524","Chak 12 o Sri Karanpur,","Ganganagar","RAJASTHAN","4375","23-Jul-2025","22-Jul-2030","9314655555","Active",""
"ANITA MEENA","ANITA MEENA P.E.G. GODOWN & M/S ANU WAREHOUSE","7006927","KHASRA No.- 152, 151/1, CHAWADIYA, JADAN ROAD, MARWAR JUNCTION","Pali","RAJASTHAN","10000","01-Jan-2025","31-Dec-2029","9799800900","Active",""
"ANMOL QUALITY WEARHOUSE","ANMOL QUALITY WAREHOUSE","7055619","KHASRA NO.74,77 VILLAGE TIKAWADA ,TEH. KISHANGARH,","Ajmer","RAJASTHAN","5533","27-Mar-2025","26-Mar-2030","9414011580","Active",""
"Annpurna Warehousing","Annpurna Warehousing","6759690","Opp. Ganesh Mandir, Suratgarh Road, NH-62, Village 2 HH II, Netewala","Ganganagar","RAJASTHAN","11000","19-Jul-2023","18-Jul-2028","9414432538","Active",""
"ANUPREKSHA AGROTECH PRIVATE LIMITED","ANUPREKSHA AGROTECH PVT LTD","7128069","NO 200, 1042/200, 1092/216, GRAM SUNDLAK, TEHSIL BARAN","Baran","RAJASTHAN","5095","12-Aug-2025","11-Aug-2030","9829037583","Active",""
"ARVIND AGARWAL","ANANT WAREHOUSE","6701551","ANANT WAREHOUSE, KHASRA NO 503/282, BEHIND RIICO INDUSTRIES AREA, VILLAGE GOGELAW","Nagaur","RAJASTHAN","4275","28-Mar-2023","27-Mar-2028","9414118248","Active",""
"ARVIND AGARWAL","ANANT WAREHOUSE","6703268","ANANT WAREHOUSE, KHASRA NO 503/282, BEHIND RIICO INDUSTRIES AREA, VILLAGE GOGELAW","Nagaur","RAJASTHAN","4275","31-Mar-2023","30-Mar-2028","9414118248","Active",""
"ARVIND MEENA","ARVIND KUMAR MEENA","6904239","Khasra No.- 2001/1558, Village - Bijauli, Talabsahi,","Dhaulpur","RAJASTHAN","6720","02-Apr-2024","01-Apr-2029","9799525525","Active",""
"ASHA FOOD AND COTTON INDUSTRIES","Asha Food and Cotton Industries","4471699","A-22 (A) Phase-1, RIICO Industries Area, Behror","Alwar","RAJASTHAN","2000","08-Apr-2021","07-Oct-2025","9314555551","Active",""
"Ashok Sankhla","Heera lal Ashok kumar","6973531","Village Khara, Khasra No. 1016/227","Bikaner","RAJASTHAN","7486","29-Aug-2024","28-Aug-2029","9414142679","Active",""
"Asian Warehousing LTD","Asian Warehousing Ltd","6813331","Kota -Jaipur Road,NH-52, Near Railway Over Bridge Devpura","Bundi","RAJASTHAN","10000","12-Dec-2023","11-Dec-2028","8949641244","Active",""
"Babu Lal","Shri Balaji Warehouse","6676803","Khasra No. 26/2 & 26/4, Village Eka Bhatiyan, Tehsil Phalodi,","Jodhpur","RAJASTHAN","5645","24-Jan-2023","23-Jan-2028","9460105929","Active",""
"BADAN KANWAR","ROOPKRIPA LOGISTICS","7021686","KHASRA NO 460/33, ROOPSAR, BHAWAD FANTA, NETRA, BAORI","Jodhpur","RAJASTHAN","6500","16-Feb-2025","15-Aug-2026","9929955955","Active",""
"BADRILAL PATIDAR","Shree Ram Warehouse","6702633","Village-Post, Sidhpura, Pratapgarh","Pratapgarh","RAJASTHAN","3130","31-Mar-2023","30-Mar-2028","9950760085","Active",""
"BAGDA RAM","M/s Shree Vinayak Warehouse","6664742","Khasra No. 912/881,914/905 (881/15 & 881/16 (Old)), Bypass Road, Village Mathaniya,","Jodhpur","RAJASTHAN","2334","22-Dec-2022","21-Dec-2027","9928604594","Inactive",""
"Baraju Devi","M/s Maa Ashapura Warehouse","6663306","Khasra No. 881/11 & 881/13, Village Mathania, Tehsil Tinwari,","Jodhpur","RAJASTHAN","3068","15-Dec-2022","14-Dec-2027","9929720812","Inactive","EXPIRED INSURANCE"
"Barkha Ceramics Company Private Limited","PWS Warehouse","6770226","Bagar Ratan Sahar Station Road,","Jhunjhunun","RAJASTHAN","10000","09-Aug-2023","08-Feb-2028","9983957860","Active",""
