"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Maharashtra State Warehousing Corporation","Phaltan","6586986","At Tambmal, Lonand - Phaltan Road, Post Farandwadi, Tal. Phalan","Satara","MAHARASHTRA","8920","30-May-2022","29-May-2027","8830845445","Inactive","EXPIRED INSURANCE"
"Janhavi Promoters Private Limited","Unity Warehouse","6661953","Unity Warehouse, Gat No 519,, Kimtha Upalavi Road,Upalavi: 416","Sangli","MAHARASHTRA","3180","12-Dec-2022","11-Dec-2027","9602107772","Inactive","EFFECTIVE CONTROL EXPIRED"
"Janhavi Promoters Private Limited","MRS.KHATIJA NURUDDIN LALANI","9531654","GODOWN NO 7, GUT NO 15, BABHULGAON, OSMAN NAGAR ROAD,","Nanded","MAHARASHTRA","1001","01-Dec-2020","30-Nov-2025","9460060009","Inactive","EFFECTIVE CONTROL EXPIRED"
"StarAgriWarehousing CollateralManagementLimited","Khaledabai Istyak Deshmukh","6658710","Godown, Gut No. 406 At Village-Dongargaon, Tq Sillod","Aurangabad","MAHARASHTRA","1499","06-Dec-2022","05-Sep-2027","9314058569","Inactive","EFFECTIVE CONTROL EXPIRED"
"Sachin Madke","Laxmi Dudh Utpadak Prakriya Sangh Warehouse","6623797","Jamgaon (A),","Solapur","MAHARASHTRA","5000","30-Aug-2022","29-Aug-2027","9850509680","Inactive","EXPIRED INSURANCE"
"National Commodities Management Services Limited","National Collateral Management Services Limited","1004563","C/o Lata Vinod Agrawal, Godown Premises No. 2, Sy. No. 79/1,","Akola","MAHARASHTRA","2615","05-Feb-2023","11-Dec-2027","7387056402","Inactive","EFFECTIVE CONTROL EXPIRED"
"National Commodities Management Services Limited","JAI WAREHOUSING CORPORATION","3931645","Survey no 45/3 Magrulpir road, Barshitakli Village : Barshitakli, Taluka :Barshitakli","Akola","MAHARASHTRA","6847","16-Mar-2023","26-Nov-2027","7387056402","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CWC MALIWADA (PEG)","5791649","GUT NO 97,","Aurangabad","MAHARASHTRA","25000","29-Jun-2021","28-Jun-2026","7066787833","Inactive","EFFECTIVE CONTROL EXPIRED"
"Rajan Godare","Sri Abhijit Traders","7001886","Plot No. 117,118,119, Umiya Industrial Estate P.O Tarodi Tehsil Kamthi,","Nagpur","MAHARASHTRA","3336","20-Dec-2024","19-Jun-2029","8308012403","Inactive",""
"Yamada Logistics Private Limited","YAMADA LOGISTICS LIMITED C/O SHOURYA CORPORATION","6545222","Plot no. C-162, C-Zone, MIDC Lohara,, Yavatmal - Maharashtra - 445001","Yavatmal","MAHARASHTRA","7500","07-Dec-2021","06-Jun-2026","9009002013","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CW, Puntamba","5791660","changdeonagar, puntamba","Ahmadnagar","MAHARASHTRA","4200","29-Jun-2021","28-Jun-2026","9022111011","Inactive","EFFECTIVE CONTROL EXPIRED"
"Central Warehousing Corporation","CW NANDED (PRASHANT & SHUBHAM COMPLEX)","5411644","BHAYEGAON ROAD, TUPPA, NANDED","Nanded","MAHARASHTRA","12426","03-Jun-2021","02-Jun-2026","9960420107","Inactive","EFFECTIVE CONTROL EXPIRED"
